[ INFO ] [ main | 2025-08-15 00:33:14 ] Starting server on port 8080
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Received packet with network id 0
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Received client details: 59 2e39cf8e-5f2c-4e13-afcf-79097148cd24 Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Added player: Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Sent packet with network id 2, data length: 0
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Sent packet with network id 6, data length: 48
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Sent packet with network id 4, data length: 56
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Received packet with network id 80
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Received tank colors: 0, 0, 1080573952, 0, 1081073664, 0, 1077936128, 0, 1080041472
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:18 ] Set tank color to: Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:21 ] Received packet with network id 82
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:21 ] Sent packet with network id 6, data length: 99
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Received packet with network id 5
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Sent packet with network id 6, data length: 40
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Sent packet with network id 6, data length: 58
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Sent packet with network id 6, data length: 41
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Sent packet with network id 8, data length: 314
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Sent packet with network id 9, data length: 0
[ ERROR] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Event not registered: EventTankPlayerCreate
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Sent packet with network id 6, data length: 36
[ INFO ] [ nioEventLoopGroup-3-1 | 2025-08-15 00:33:30 ] Neko110923 performed command: /play 1745816632554
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:37:37 ] Received packet with network id 5
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:37:37 ] Sent packet with network id 6, data length: 21
[ INFO ] [ nioEventLoopGroup-3-1 | 2025-08-15 00:37:37 ] Neko110923: huh
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:38:03 ] Freed 5 thread-local buffer(s) from thread: nioEventLoopGroup-3-1
[ INFO ] [ main | 2025-08-15 00:47:06 ] Starting server on port 8080
[ DEBUG] [ main | 2025-08-15 00:47:06 ] Using SLF4J as the default logging framework
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.eventLoopThreads: 24
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.noKeySetOptimization: false
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.selectorAutoRebuildThreshold: 512
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.noUnsafe: false
[ DEBUG] [ main | 2025-08-15 00:47:06 ] Java version: 21
[ DEBUG] [ main | 2025-08-15 00:47:06 ] sun.misc.Unsafe.theUnsafe: available
[ DEBUG] [ main | 2025-08-15 00:47:06 ] sun.misc.Unsafe.copyMemory: available
[ DEBUG] [ main | 2025-08-15 00:47:06 ] java.nio.Buffer.address: available
[ DEBUG] [ main | 2025-08-15 00:47:06 ] direct buffer constructor: unavailable: java.nio.DirectByteBuffer.<init>(long,int)
[ DEBUG] [ main | 2025-08-15 00:47:06 ] java.nio.Bits.unaligned: available, true
[ DEBUG] [ main | 2025-08-15 00:47:06 ] jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$6 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @4c762604
[ DEBUG] [ main | 2025-08-15 00:47:06 ] java.nio.DirectByteBuffer.<init>(long, int): unavailable
[ DEBUG] [ main | 2025-08-15 00:47:06 ] sun.misc.Unsafe: available
[ DEBUG] [ main | 2025-08-15 00:47:06 ] maxDirectMemory: 8543797248 bytes (maybe)
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.tmpdir: C:\Users\admin\AppData\Local\Temp (java.io.tmpdir)
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.bitMode: 64 (sun.arch.data.model)
[ DEBUG] [ main | 2025-08-15 00:47:06 ] Platform: Windows
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.maxDirectMemory: -1 bytes
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.uninitializedArrayAllocationThreshold: -1
[ DEBUG] [ main | 2025-08-15 00:47:06 ] java.nio.ByteBuffer.cleaner(): available
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.noPreferDirect: false
[ DEBUG] [ main | 2025-08-15 00:47:06 ] org.jctools-core.MpscChunkedArrayQueue: available
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.processId: 38608 (auto-detected)
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Djava.net.preferIPv4Stack: false
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Djava.net.preferIPv6Addresses: false
[ DEBUG] [ main | 2025-08-15 00:47:06 ] Loopback interface: loopback_0 (Software Loopback Interface 1, 0:0:0:0:0:0:0:1)
[ DEBUG] [ main | 2025-08-15 00:47:06 ] Failed to get SOMAXCONN from sysctl and file \proc\sys\net\core\somaxconn. Default: 200
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.machineId: 00:00:00:00:00:00:00:e0 (auto-detected)
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.leakDetection.level: simple
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.leakDetection.targetRecords: 4
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.numHeapArenas: 24
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.numDirectArenas: 24
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.pageSize: 8192
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.maxOrder: 11
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.chunkSize: 16777216
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.smallCacheSize: 256
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.normalCacheSize: 64
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.maxCachedBufferCapacity: 32768
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.cacheTrimInterval: 8192
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.cacheTrimIntervalMillis: 0
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.useCacheForAllThreads: true
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.allocator.type: pooled
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.threadLocalDirectBufferSize: 0
[ DEBUG] [ main | 2025-08-15 00:47:06 ] -Dio.netty.maxThreadLocalCharBufferSize: 16384
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] -Dio.netty.recycler.maxCapacityPerThread: 4096
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] -Dio.netty.recycler.maxSharedCapacityFactor: 2
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] -Dio.netty.recycler.linkCapacity: 16
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] -Dio.netty.recycler.ratio: 8
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] -Dio.netty.recycler.delayedQueue.ratio: 8
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] -Dio.netty.buffer.checkAccessible: true
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] -Dio.netty.buffer.checkBounds: true
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@6e68adb6
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Received packet with network id 0
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Received client details: 59 e760ecf3-e431-4dfb-81a2-5d5dc8b9dd74 Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Added player: Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Sent packet with network id 2, data length: 0
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Sent packet with network id 6, data length: 48
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Sent packet with network id 4, data length: 56
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Received packet with network id 80
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Received tank colors: 0, 0, 1080573952, 0, 1081073664, 0, 1077936128, 0, 1080041472
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:22 ] Set tank color to: Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:33 ] Received packet with network id 82
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:33 ] Sent packet with network id 6, data length: 99
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:45 ] Received packet with network id 5
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:47:45 ] Sent packet with network id 6, data length: 40
